Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Paes Landim,2207306,5530,5942,6214,7802,7756,8727,7430,11420,12609,14570,17158,20514,19827
São Gonçalo do Piauí,2209807,4826,5374,5854,7104,8321,8999,9560,10890,13416,15585,17391,20213,19863
Queluzito,3153806,9110,10203,11492,12171,13080,12114,12862,14814,18993,18093,21091,18869,19875
Buritinópolis,5203962,4809,5114,6297,7494,8446,9196,10210,11425,13995,15370,17144,18947,19885
Bodó,2401651,5274,5095,8231,8648,11569,9071,12260,12811,13007,16149,18258,19846,19911
Olivedos,2510501,5097,5767,6764,7043,7872,9523,11305,12530,15078,16217,17286,19318,19999
Caridade do Piauí,2202554,4170,4428,4764,5731,7714,7937,8803,11485,13150,14587,16641,19312,20016
São Patrício,5220280,6985,7704,10209,14412,15057,16465,15965,18094,17024,18459,19569,22965,20093
Pedra Branca,2511004,5643,8327,7082,8548,8637,9738,11739,11893,14416,15560,17185,18780,20099
Paial,4211876,7992,10264,10634,14977,16009,15797,14228,17975,21814,20076,21075,26628,20213
Paraú,2408706,6217,7597,9367,9563,10296,10936,12170,13577,14501,15775,16926,18679,20243
São Sebastião do Rio Verde,3164902,5235,5529,6473,7452,8116,9484,10396,11975,14027,14653,17375,17869,20258
Silveirânia,3167301,5538,6029,7034,8101,8535,9887,10949,11941,13474,14723,16311,17377,20465
Tigrinhos,4217956,8079,7645,10321,12324,13209,11572,11594,14326,20120,21739,21201,24487,20483
Casa Grande,3114907,6469,7267,8349,9669,9915,10450,11118,12898,16199,17410,20180,22004,20548
Serranos,3167004,5588,6123,7199,8628,9053,10427,10422,12030,14474,15710,17261,17752,20550
Mãe d'Água,2508703,4828,5384,7043,7821,7999,9041,10836,12503,14540,16206,17947,19736,20574
Rio Doce,3155009,5234,5692,7509,8514,8584,10600,11426,14014,16030,16852,17253,18601,20617
Serra Nova Dourada,5107883,0,2870,4301,6404,10475,12669,8236,9427,15725,15958,19155,20297,20705
São João do Tigre,2514107,5471,7008,7484,8394,9460,10905,12379,12907,16120,16913,18895,20447,20729
Flor do Sertão,4205357,6952,6607,7976,12269,11812,12272,12192,14000,16756,18390,18311,21487,20752
Jundiá,2406155,0,5113,6664,6735,7178,8051,10653,12691,14765,16811,17883,20043,20767
Porto Alegre do Tocantins,1718006,4202,4825,5772,7585,9428,10820,11605,13089,15140,15896,18028,19498,21012
Nova Guataporanga,3533106,6135,7370,8757,9015,9220,10427,10846,12410,14614,15151,17900,18672,21031
Major Sales,2407252,4514,5199,6888,6893,7709,9181,10767,13141,15351,15765,17720,19492,21048
Lagoa Santa,5212253,0,3892,6215,9514,10262,10329,10304,12164,14867,15370,17977,19366,21083
Santa Rosa do Piauí,2209377,5556,6165,6436,8683,8837,9200,10177,12027,14394,16146,17848,20441,21084
Assunção,2501351,4328,5018,5743,6521,7584,8921,10841,13284,13955,15753,17857,20511,21179
Venha-Ver,2414753,4760,5537,7854,7470,8843,10132,11634,13253,15111,16122,17122,19662,21211
Olho d'Água Grande,2705903,6585,7621,7852,8637,9707,11152,11923,13650,15280,16468,19485,19096,21256
Paraná,2408607,5720,6555,7985,7745,8654,10499,12331,14348,16378,16909,18865,20606,21277
Júlio Borges,2205524,4904,5419,5810,7488,8168,9062,9221,12024,15551,17256,19320,22113,21279
Alegrete do Piauí,2200277,4994,5864,6075,9094,9120,10115,11706,13537,23759,21006,20112,21975,21286
Conceição do Canindé,2202802,8013,7868,7201,8688,9713,10198,11178,11478,14464,15101,16808,19438,21352
Telha,2807303,5545,6390,7271,8713,10389,10490,12602,12921,16044,16070,17557,19589,21370
São Bento do Trairí,2411700,5015,5840,7062,7328,8782,9809,11952,13852,14982,17620,18413,20414,21396
Benjamin Constant do Sul,4302055,7039,8313,8343,12923,11920,11385,13185,15191,18032,17008,21883,23720,21452
Centenário,1704105,3355,4545,5725,7467,8369,10167,11975,14187,18646,17948,18481,18863,21470
