Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Inácio Martins,4110201,28065,27372,33501,47605,49998,173472,79730,85409,78848,76073,95768,95448,105073
Tracuateua,1508035,20446,25908,30628,35636,37785,42273,50113,61676,65696,69577,82865,94473,105120
Jerônimo Monteiro,3203106,32404,31005,31955,39800,47088,49647,53238,61181,66650,71993,78575,87577,105133
Independência,4310405,39061,46150,54641,80932,65292,57114,70448,94380,97727,102088,118194,139553,105143
São Luís do Paraitinga,3550001,33139,35554,40957,49486,55971,67432,77393,72584,74997,82828,89561,102475,105275
São Tiago,3165008,31940,38531,51807,71836,53918,55165,55664,59943,67701,70827,82120,89934,105298
Miraguaí,4312302,16252,16618,17082,24911,23017,24540,28619,40342,44440,48924,73478,100572,105417
Cambará do Sul,4303608,53941,58960,79377,79764,90635,80907,82468,89486,92562,96339,114310,111707,105439
Coaraci,2908002,34381,43505,58707,65764,58429,71848,67346,71217,77917,92269,102866,101872,105510
Humberto de Campos,2105005,22126,27563,31692,36337,39904,43642,49814,51734,69247,76347,86674,94239,105602
Placas,1505650,18701,24776,33236,30067,33436,37679,38985,48192,54531,63547,85246,91484,105638
Bom Sucesso do Sul,4103222,23821,21210,28962,43734,46154,35228,37882,52788,65437,62192,75923,88053,105678
Monte do Carmo,1713601,21597,79193,30324,31398,42076,40847,42658,51968,77364,95030,99085,107101,105750
Pium,1717503,25176,40755,39100,58617,47642,47856,50076,60530,69232,77033,76712,91665,105782
Brejo Alegre,3507753,13635,12713,18975,24751,21967,20663,20074,30004,32907,98921,157134,115456,105784
Caririaçu,2303204,28646,29750,35783,45923,70206,50523,55599,61103,78543,87184,94305,107039,105973
Oliveira dos Brejinhos,2923209,27487,34874,41568,45078,49175,54610,58664,61804,68508,74266,84730,88211,106060
Arenápolis,5101308,29071,31679,40858,49897,53467,56165,58423,64266,72155,81292,90983,101810,106192
Pirapemas,2108801,17502,21430,25682,29800,36583,45236,57976,66225,83509,62000,80701,99073,106242
São Brás do Suaçuí,3160900,22380,26552,28421,35591,62797,61227,70869,85357,89557,70192,76273,92629,106250
Ourolândia,2923357,21904,25128,30315,35782,45849,47967,53815,63245,69180,77263,85443,93852,106311
Garrafão do Norte,1503077,20008,27784,33391,37232,44858,48756,57829,60991,70792,75095,91110,90336,106356
Jutaí,1302306,35620,43107,67156,70506,75524,55178,61398,59160,62926,68746,89924,96583,106376
Santo Antônio da Barra,5219712,13059,17238,27281,31621,36858,31049,26596,29483,43673,71056,72834,117172,106381
Rio do Oeste,4214607,40042,43836,51259,65875,73119,74260,76810,92229,117619,128770,125196,109207,106393
Ribeirão do Sul,3543204,23464,30612,37400,49361,52852,48131,47616,45644,64908,56509,61457,84780,106438
Floresta,4107900,34098,36901,44113,54090,56783,47550,46576,59835,68239,64181,75398,98626,106438
Piranga,3150802,26566,30309,37022,41978,43279,48143,52712,59122,72946,76143,89077,98600,106468
Amapá,1600105,28317,35253,37228,39248,42633,48572,60284,72486,72571,80917,90074,93669,106494
Fortaleza dos Nogueiras,2104107,19575,20388,27764,42364,46071,54363,52250,53204,82967,80286,85844,93943,106587
Vertentes,2616209,20033,22861,26294,30079,33342,38596,45494,49161,57680,66013,95145,105107,106729
Monte Carlo,4211058,47062,48036,57824,72607,63866,67494,81142,76984,91312,94473,112163,109550,106771
Orocó,2609808,23864,29793,28516,46474,43362,51306,50565,60247,88058,102746,117739,94055,106872
Gurinhatã,3129103,36484,38085,44104,58336,62561,73184,62010,66419,82267,88306,102132,116592,106951
Mara Rosa,5212808,31238,35000,45126,51294,53842,54703,57560,67819,79065,83094,98346,102585,107032
Guaiúba,2304954,23540,26951,30440,34585,39464,43823,53469,60192,73833,82098,102059,108487,107068
Ibiaçá,4309803,32603,35968,41637,61181,52151,38955,63928,79211,87846,87886,99576,113316,107089
Coronel Domingos Soares,4106456,28696,30971,36239,53674,58503,53116,60994,65692,71861,70697,92432,102303,107101
Formosa da Serra Negra,2104099,16369,16987,26049,28719,32117,39712,44245,52458,57855,64888,74657,84049,107234
Maracajá,4210407,41854,44438,56956,74899,82953,85464,80926,91074,102803,120609,98759,104511,107360
Figueirópolis,1707652,29662,46581,26131,40444,48952,52745,48670,50870,70251,65457,76520,94150,107375
Terra Roxa,3554409,37285,51906,59633,64662,50986,61727,83586,62052,59760,76632,94790,96863,107384
Olho d'Água das Flores,2705705,50630,55871,73900,74164,88573,91735,106026,125485,76209,70473,86923,95770,107392
São João do Piauí,2210003,27648,28200,30160,31612,39728,48383,63644,60134,71642,73803,87723,94211,107404
Água Boa,3100609,55045,48085,46087,53615,58021,63897,59206,70869,81267,86950,87776,103698,107475
Tacaratu,2614808,22787,25725,27886,31354,34456,40598,46899,52444,62885,71538,87292,99157,107524
Santo Amaro das Brotas,2806602,20334,24300,28281,30481,38113,38477,47559,54089,60481,69301,70727,84047,107527
São José da Varginha,3163102,15915,16960,34957,46238,39177,48571,45176,53269,52685,49790,63264,88753,107583
Passo do Sobrado,4314076,29137,38814,44257,58037,65826,61215,63918,67384,73444,80149,95818,111917,107591
Matões,2106607,26262,30075,31104,34198,39004,43064,51038,64114,65751,80324,88844,104552,107594
Forquilha,2304350,23875,26098,31825,37915,50607,61624,62312,67763,77913,85412,97108,105531,107662
Ubarana,3555356,31447,32113,40538,44776,44323,48391,62175,72251,69078,72416,83739,106631,107694
Mário Campos,3140159,28657,31000,36038,40743,43213,49853,52443,54488,71460,76320,84952,92528,107696
Godofredo Viana,2104305,7297,9165,10060,12092,13598,14104,17895,22371,28365,31942,43437,85710,107798
Bilac,3506409,29703,37297,44740,51814,55350,57107,63066,67514,73817,81465,90518,98972,107809
Serranópolis do Iguaçu,4126355,32335,33296,41623,60546,56295,53301,47597,61967,66448,63734,75393,90095,107809
Jucás,2307403,28852,31201,35177,40012,44120,48340,53439,60955,70521,87718,99876,114089,107837
Reginópolis,3542503,22962,28963,30046,32746,34979,40454,47884,53668,56852,64742,70764,107098,107847
Santa Lúcia,3546900,31659,40327,47647,57530,57345,57228,67328,67704,55229,64946,85123,96060,107886
Lucena,2508604,22174,25995,30608,40213,43299,47389,55477,57528,59793,68455,78875,94248,108087
Vale do Paraíso,1101807,34028,35105,44325,67399,68630,73309,73389,86163,99246,89004,97294,104812,108187
Iaras,3519253,13421,17440,23305,25016,27974,42951,36928,44788,60221,51715,129804,103051,108304
Pontão,4314779,34089,42076,50432,78495,68170,42056,75749,97463,112163,98472,104898,121031,108361
Cruz,2304251,30396,34044,39358,43464,46774,52245,60141,58763,77698,76877,93220,103199,108419
Santa Clara do Sul,4316758,44706,52232,57590,58826,64955,60328,61604,69582,75378,84142,88349,103071,108462
Gurupá,1503101,29470,32213,42714,43195,41816,47291,56414,64908,71269,79381,93580,97476,108480
Ponta de Pedras,1505700,27046,30094,36418,37955,38738,41465,50744,62184,67106,76132,88567,99682,108524
Rochedo,5007505,23542,23673,27427,34006,37782,40772,37233,40023,56187,80866,94692,96775,108584
Urandi,2932606,24799,26128,29191,31665,37294,45068,49528,56669,68544,80651,96215,108234,108658
Aurora,2301703,32943,31592,39841,50775,45746,52019,63894,65588,81911,89421,96273,116748,108670
Cristal,4306056,25717,31062,36599,44882,52910,46351,54099,59608,75634,91051,98191,103742,108736
Varzelândia,3170909,30102,34039,39502,42204,48673,52329,53873,60048,74701,78739,88593,99392,108773
Mantenópolis,3203304,33024,33204,34005,39651,46783,52019,63843,80362,71373,71660,87352,114470,108981
Luzilândia,2205805,25784,29804,35477,39204,42133,48467,54410,66210,74629,84169,98052,106619,109034
Alto Alegre do Maranhão,2100436,21165,24533,28081,32299,37170,41876,48435,50365,67832,70328,83940,96880,109035
Água Doce do Norte,3200169,34559,33221,40254,45602,55961,63961,75082,93684,95052,91855,81445,95336,109081
Cristinápolis,2801702,24809,28189,29941,40378,41974,49970,57029,60340,67550,81685,97035,94539,109120
Dom Pedro,2103802,26882,31842,36259,40617,43717,48760,62249,71078,74460,80004,95562,103966,109186
Venturosa,2616001,21545,24141,28961,33531,38570,46378,52687,60143,69518,79873,91145,102114,109213
Botuverá,4202701,30327,34492,29370,34252,41409,43562,50631,56053,70812,81107,105661,114535,109458
Guaiçara,3517208,35813,43901,49912,61763,60535,69210,94576,90242,104033,130964,121647,122944,109663
Utinga,2932804,26891,30111,44027,39632,42535,48992,57957,73353,73051,83674,83322,92786,109728
Campo do Tenente,4104105,24332,41308,45291,51898,49147,47333,53345,67625,65703,64651,105950,109862,109734
Tomazina,4127809,23529,25699,33227,43861,50101,46653,48743,52939,69061,67336,93072,96646,109837
Vila Flores,4323309,19441,23094,26327,34397,39113,46207,52213,58540,67073,81839,86207,92198,109924
Formigueiro,4308409,31055,37644,46433,55576,62525,47571,60881,68619,81413,95761,100978,100330,109994
Corumbá de Goiás,5205802,22657,24767,30551,38338,40772,42142,44932,50907,56576,62800,73871,80153,110016
Raposos,3153905,28457,30412,31984,34204,37890,41221,45392,60138,56266,64341,70630,83970,110028
Mar de Espanha,3139805,28516,31171,37384,48098,47337,55158,61769,63482,73412,82365,95250,103435,110054
Mundo Novo,2922102,28529,32111,40325,38958,39889,50052,58311,66094,80239,96591,108253,112270,110066
Capão do Cipó,4304655,0,25838,27602,71658,38556,24278,56241,91221,108040,108031,114308,145481,110104
Campo do Meio,3111309,32804,35433,39115,39312,66918,50053,72901,69593,79470,84429,90265,125146,110126
Tarumirim,3168408,30345,31585,33872,38555,41438,47034,52543,57888,69439,76024,88253,99509,110128
Aperibé,3300159,33157,38052,41825,50447,51855,53243,55720,59387,115651,79090,92689,101842,110190
Loreto,2106102,15124,15900,18295,28901,35210,44239,37457,43027,63176,83723,90675,85373,110192
Boa Ventura de São Roque,4103040,30980,36841,47587,68987,71022,52276,60879,65106,93065,88616,91291,102395,110202
Águas Vermelhas,3101003,24739,29450,35281,41157,47442,51321,40210,42920,49278,89555,97031,95313,110374
Canarana,2906204,29482,29724,43837,49947,50873,51807,54865,64009,70091,90107,106016,110699,110536
São José de Piranhas,2514503,24379,31784,34120,36707,38403,42117,50351,59122,69427,80698,94346,105800,110591
Bananal,3504909,29102,33052,39362,44176,46412,68515,63430,67714,77226,88275,98680,103117,110639
Echaporã,3514700,36985,37152,51136,56428,59036,59436,57465,59229,68589,75949,91430,103910,110720
Jardim,2307106,27714,31545,36065,43792,48185,53128,61014,66000,83430,91855,102268,107142,110781
São Joaquim do Monte,2613305,34800,35367,42698,45544,50341,60424,59258,64994,74369,88826,113585,115639,110805
Pitimbu,2511905,33995,38247,44224,52821,56637,59729,69665,70409,82817,88190,94441,105438,110859
Paulistana,2207801,23110,24806,28097,30621,36897,39106,46347,51569,65511,72807,98160,107653,110861
Irituia,1503507,34093,37153,42261,49191,52455,56232,60503,69387,74279,81544,92573,99955,110868
Palma Sola,4212007,39720,42647,56611,80952,89466,77366,81446,94729,117841,118755,132805,152867,110946
Boa Vista,2502151,15108,29063,45487,43976,48611,32925,60249,62346,70107,65872,89904,98994,111009
Paramirim,2923605,31324,31648,37347,38860,42985,53655,57410,65977,70507,79221,93942,103810,111079
Floraí,4107801,27361,33339,43485,62241,57934,54705,56258,66481,77004,78612,97701,101420,111122
Ubatã,2932309,21232,29481,40820,45653,58188,62364,67786,79206,82827,102027,115319,112361,111204
Nova Marilândia,5108857,14353,15982,21832,27020,48550,38819,26415,30170,35828,38615,61051,87143,111349
Gabriel Monteiro,3516507,23983,21495,43700,51294,41028,46111,63292,51750,60994,69093,88489,91931,111449
Cocal,2202703,27475,30177,34714,46073,49347,49975,59678,70168,82851,79473,94375,110375,111499
Cotiporã,4305959,19618,25302,28756,36118,40397,41897,49777,57282,64355,91874,101789,106695,111507
Trairão,1508050,18154,26211,28109,35165,40015,41395,45852,55361,61036,69128,76604,91433,111590
Entre Rios do Oeste,4107538,22092,24734,32486,43020,44793,45728,45574,57817,72007,64441,92981,107339,111591
Amajari,1400027,21756,25796,28058,30643,32341,31951,42594,52787,60781,71195,84730,99513,111597
Cristina,3120508,29191,35028,36791,45573,47942,55565,54569,61873,69724,86360,89385,112832,111676
David Canabarro,4306304,25977,29076,33717,38070,41113,35003,52925,62367,78630,76196,85300,94407,111770
Soure,1507904,33074,35493,43488,46668,49343,56990,62020,68925,72987,81758,93315,99011,111810
Pacatuba,2804904,25856,32705,36788,44433,66149,74063,97040,94392,97622,118126,146248,136597,111862
Tamboril,2313203,32375,33482,41212,49002,50288,54689,64777,68716,89566,89748,102344,121440,111865
Paulicéia,3536406,19412,23273,28395,30345,30736,34406,37453,49108,60927,73737,99634,102008,111930
São Tomé,4126108,31634,33984,36465,56843,60555,58220,74120,70221,77168,89846,98097,102670,112000
Veríssimo,3171105,26485,27554,30875,37891,58843,57974,57533,55389,71090,77659,97854,119947,112055
Urbano Santos,2112605,20059,22589,27429,29983,39059,39666,53232,60678,59743,72680,88378,122877,112076
Carutapera,2102903,18833,21086,29629,32113,35996,40495,48343,51377,59159,67170,84377,91475,112167
Nova Soure,2922904,28120,32507,38077,41903,44790,54803,59911,69293,76643,80139,96897,104641,112205
Cuité,2505105,32937,30967,37156,42879,44547,48780,60623,67685,75972,82932,93164,102026,112274
Nova Laranjeiras,4117057,32137,32545,41916,58556,60829,63069,65672,80093,93790,87197,97037,96857,112336
Iraí,4310504,32861,36007,42438,53993,51792,53831,61772,65984,72594,76850,88328,96263,112390
Guairaçá,4108908,22688,23972,31115,46403,49003,41036,49883,58929,59995,77444,80813,93309,112490
São Sebastião do Alto,3305307,36422,41762,40397,47462,51429,54534,59586,61599,76642,90289,99338,104016,112611
Ciríaco,4305504,23759,30774,38227,51188,42532,38183,54555,62823,76023,69070,85489,106547,112639
Lagamar,3137106,35085,33398,42825,49760,51041,58830,56076,62703,81485,82514,97129,99470,112784
Ressaquinha,3154408,14493,20531,29475,39690,48562,50798,49567,55814,80155,86497,95332,106311,112824
Restinga,3542701,28790,37585,50228,50969,61197,61231,82865,76399,77789,77965,97019,98276,112993
Muaná,1504901,26701,30942,35881,37892,41053,44943,50862,57936,67061,72840,88782,101345,113005
Palmitinho,4313805,26769,31138,35742,46881,43841,46108,53543,66578,75440,75372,86087,98110,113095
Feira Nova,2605400,23741,27967,31246,33990,36983,43901,49434,53213,59345,71577,86362,95235,113290
Capoeiras,2603801,25244,29239,35399,38615,44679,49130,56861,64964,70612,83169,92770,104090,113394
Novo Oriente,2309409,36200,42931,45673,49004,50364,55511,68424,70375,91219,93386,102932,133452,113398
Nova Veneza,5215009,24441,27006,27451,36081,41933,43219,47422,52558,59407,74447,85822,98568,113503
Nova Cantu,4116802,37071,37827,47258,68085,63396,55909,54406,59476,79280,79628,83036,93000,113504
Corumbataí,3512704,38006,42537,45539,59464,59856,63082,83452,83514,95963,90416,108566,134369,113561
Trizidela do Vale,2112233,25672,29620,36448,44855,48470,53017,58546,67931,71613,80673,98968,107910,113579
Uruçuca,2932705,23544,24840,37890,37684,40622,47271,57652,60844,70197,81850,95808,101472,113734
Itarantim,2916807,29059,30121,34070,39320,44454,50669,56324,61555,69949,84333,100762,110790,113792
Riachão do Dantas,2805802,32485,38073,41364,55968,52307,62539,73166,72028,84884,96332,98039,102283,113902
Braganey,4103354,35291,35853,50850,65209,70293,57646,54654,85830,84170,76726,76560,99283,113941
Balneário Barra do Sul,4202057,25480,29027,32915,39598,44797,52512,65720,71216,77421,84552,103970,107084,113971
Cachoeirinha,2603108,25138,32445,39415,43744,47714,53966,60502,66983,76585,81106,96604,103763,114040
Caetanópolis,3109907,46949,46738,50379,55933,72207,74110,65597,67801,76988,79177,108250,113306,114136
Terra de Areia,4321436,37818,37151,44856,58909,66842,67319,72318,74349,79128,85387,100700,99878,114139
Barcelos,1300409,35110,35422,65805,56193,60398,66453,67143,64886,76680,77728,102778,111882,114164
Nantes,3532157,11543,17063,22522,38503,45358,55782,76504,82919,79953,86366,93346,125048,114395
Olindina,2923100,27157,30743,36755,41964,47889,59073,63531,70750,82013,93102,106544,111644,114594
São Felipe,2929107,24304,28405,33632,39846,43311,52314,60256,67950,78819,81162,93399,104327,114656
Ibirapitanga,2912707,27468,30101,39569,42037,65818,53950,78774,75588,74540,107097,112295,119161,114683
Caraí,3113008,27939,27866,36070,40569,43846,52390,61332,62635,74605,79504,93720,113252,114706
Alcinópolis,5000252,27748,35379,40371,47728,58467,54840,53601,66436,85068,92994,106723,109081,114733
Jequeri,3135506,27607,28914,31356,38382,44229,49956,54071,61384,72355,78260,78888,117326,115081
Itambé,4111100,39263,47135,57952,74628,78449,61798,60778,70634,81746,86252,87075,108269,115199
Juti,5005152,20582,23378,26527,36500,37072,34406,38762,55799,54329,60674,87867,95960,115267
Serra Azul,3551405,27716,35571,44443,46649,41099,48628,56367,71782,57317,73472,82038,92416,115338
Taperoá,2931202,24448,27901,33446,32140,34705,39283,48013,56096,65729,81529,96640,106336,115348
Altinho,2600807,30140,34734,38774,43180,46640,52926,58660,62813,70962,81559,93581,104056,115397
Cerro Grande do Sul,4305173,30857,39609,46887,57463,77482,59377,68620,70132,85086,95914,99855,102406,115399
Ipuiúna,3131505,32546,43588,46807,44105,44891,65228,65968,73576,86321,111591,124513,111545,115445
Gália,3516606,36015,33583,37773,42101,44800,49742,51934,57161,64856,67072,111239,112883,115488
Joviânia,5212105,39546,42160,49942,61568,72898,56850,50564,63730,72348,82740,84568,91734,115586
Boa Vista do Buricá,4302204,40372,47588,50020,59506,61191,59540,67578,83186,87016,84555,106443,113021,115705
Itarana,3202900,54837,47264,45208,55662,59384,60934,74985,80533,91288,88510,103734,107690,115769
Coração de Maria,2908903,26797,29408,36972,42596,46848,62521,72830,84179,86945,99622,116959,121095,115771
Nhamundá,1303007,24202,27239,36469,40379,42385,67086,82100,90633,80117,86487,73613,96401,115864
Igaratá,3520202,29099,35389,40141,45225,54213,53995,70953,71306,70630,84249,113508,122524,115896
Leopoldo de Bulhões,5212303,41224,38777,43592,44209,56320,45188,55707,60223,66914,90104,101332,111097,115968
Manoel Viana,4311759,28076,39243,49804,68069,58096,52033,66244,84910,103342,97546,112690,125216,116199
Piquete,3538501,45390,45573,53304,64096,63931,68002,70352,76988,83182,104554,110137,118938,116215
São Gonçalo do Pará,3161809,30600,32625,37148,49855,69663,60419,72298,76889,92398,78789,101242,111829,116244
Santa Quitéria do Maranhão,2110104,21671,24975,26667,32090,37727,40873,50540,59621,75116,92140,100507,119731,116323
Andorinha,2901353,20161,25666,31439,41256,59310,66048,65722,67401,83932,73692,112135,104764,116329
São Jerônimo da Serra,4124707,27399,30607,35995,53256,65602,56236,60425,68672,92614,88150,83808,113659,116339
Vila Nova dos Martírios,2112852,14527,18360,19869,23999,35133,44784,99169,89989,101112,65768,81200,103558,116618
Guapó,5209200,30987,33582,40953,45755,51721,53340,60163,64155,71318,88685,98479,107828,116681
Monte Castelo,4211108,25368,27983,33982,44294,80183,71085,72647,79150,92265,102375,118702,117859,116695
Paulo Frontin,4118709,28194,30360,38104,46533,54634,56188,69803,77292,88521,87713,97620,110857,116703
Santo Antônio da Alegria,3547908,26321,28266,34011,37235,44432,47578,47000,53967,73881,95159,100983,104285,116724
Orós,2309508,38100,38025,43172,49744,49781,60249,69583,73016,85570,91304,105623,115764,116724
Manduri,3528601,31070,34488,40325,50092,52985,57970,67195,70263,73733,81988,102749,106517,116774
Miranorte,1713304,24836,34300,40234,52640,59369,68069,70944,74395,78174,90417,105646,112749,116799
Selvíria,5007802,30227,36977,40534,47742,58910,74648,65617,71213,84686,98709,115895,108370,116844
Progresso,4315156,30173,31731,34068,46587,50575,45817,57411,68598,72549,74537,82966,106098,116907
Campo do Brito,2801009,33603,34376,39445,47519,49390,54055,60265,65862,75134,83451,100541,105993,116939
Cedro,2303808,34230,34191,38654,46849,51369,57801,65006,68533,81781,90816,105609,118006,117037
Antônio Olinto,4101309,26619,31927,41555,58434,55693,54966,56315,68006,83869,66898,96620,108802,117046
Miranda do Norte,2106755,15846,17581,21660,23575,27149,31014,37809,40596,46617,63358,85777,98261,117064
Mariluz,4115101,27426,28840,37867,53164,59883,53406,67030,62241,76293,75409,96707,107965,117153
Ataléia,3104700,30647,32770,39025,45827,49904,54893,60120,68376,82087,84676,90831,101812,117204
Lindóia,3527009,31342,35827,44220,44613,47631,53873,56089,62469,60980,67628,82772,92998,117216
União de Minas,3170438,33643,33038,39589,52482,57748,60002,59728,67688,77604,90423,125896,195657,117290
Campinas do Sul,4303806,46376,43740,50523,72700,67262,50243,69376,88815,85997,87934,100201,110524,117295
Queluz,3541901,32207,32784,35415,39940,40801,46247,52458,58235,74537,78837,91860,98076,117437
São Vicente Ferrer,2613800,28994,45174,36711,42701,47985,57835,66576,63149,73006,74116,94961,100650,117474
Lagoa Dourada,3137403,30332,34909,40487,53203,56794,61480,61911,72930,90939,94121,103150,107994,117512
Dumont,3514601,29988,31302,41065,55964,50679,56249,65040,67394,81167,87004,96322,111663,117619
Taquarivaí,3553856,25751,29606,40223,42042,49954,48248,71088,73067,82533,92255,99420,86649,117623
Colônia Leopoldina,2702108,42035,46906,47441,65237,75326,83964,69901,71440,99726,106663,111862,134206,117685
Congonhal,3117900,42813,40216,45757,58752,64053,64581,70773,78622,98305,88801,111895,129029,117726
Mari,2509107,28162,31947,34952,42259,48495,52429,62957,69452,78453,88445,98373,110290,117776
Guatambú,4206652,18788,21463,25967,35740,55562,68672,79214,103898,145922,115178,120848,153070,117931
Santa Terezinha,5107776,20738,21070,26583,33648,32675,56942,43257,52854,68471,73259,86803,101158,117964
Valença do Piauí,2211308,33231,35935,38477,43999,51624,57296,65472,70521,80979,90154,101810,109708,118065
São Martinho,4319109,28959,34207,38243,56827,49877,47027,57527,71398,79281,78956,93563,108601,118271
Maria da Fé,3139904,34513,41678,45689,53607,61734,69631,71304,74655,89081,100045,103820,108436,118278
Santo Antônio do Içá,1303700,31002,36627,53263,57269,61929,66374,77205,81855,85894,94028,100267,111182,118289
Nova Roma do Sul,4313359,19980,24440,25656,29741,35136,34187,48353,52100,69640,88125,96340,105231,118290
São Bernardo,2110609,21702,26682,30265,33578,41087,45258,53997,57686,77426,89706,93922,106647,118313
Santa Terezinha,4215679,36358,39392,57040,69360,79223,84755,78410,90187,120228,134525,133621,116965,118350
Cambira,4103800,25160,23475,32235,46213,54622,50193,58266,67053,89583,95303,105802,115335,118352
Cidelândia,2103257,27605,31540,31067,37728,49885,51967,66155,130481,107833,81877,108252,139250,118385
Primavera,2611408,25736,30772,43230,53292,46989,54368,66661,61101,60374,48899,118650,120477,118423
Anajatuba,2100709,23282,28195,32328,37080,42715,50905,60391,65185,96636,78987,93095,107284,118511
Córrego Fundo,3119955,22159,31511,38760,48986,61987,67317,76311,69859,81698,78654,99711,120451,118588
Arroio do Sal,4301057,26758,29690,34049,42259,45921,53638,62869,67841,71809,80794,97310,103610,118749
Boa Vista do Sul,4302253,14823,20192,24074,31224,28113,27556,31793,33922,32596,38001,60866,96538,118819
Salgado,2806206,34215,39832,44910,54160,56962,63989,72830,72100,78311,91080,102304,107396,118825
São Gonçalo do Abaeté,3161700,25549,28594,39140,42023,49228,62234,58055,77318,93899,98460,102773,115463,118857
Bananeiras,2501500,35123,41996,45773,52525,57453,63505,64421,70971,81961,92836,108257,114206,118992
Doutor Maurício Cardoso,4306734,30250,35468,44755,64533,58337,44677,60306,78169,84896,89108,99068,112597,119112
Marapanim,1504406,29964,36910,43205,49767,55755,60863,65733,71788,79175,95856,103860,111888,119223
Canto do Buriti,2202307,25329,28623,30954,38045,45265,56045,61829,63499,71581,86434,111154,121195,119252
Boa Esperança,4103008,56760,62795,71685,97509,94984,78760,75192,77629,116509,106148,100805,110378,119264
Pacaraima,1400456,51950,47597,51543,60916,69188,60955,70833,80939,88229,93472,114321,117774,119266
Águas da Prata,3500402,50962,47154,54925,60158,76978,52435,69880,91568,120912,192819,226930,115985,119340
Enéas Marques,4107405,23255,24319,34286,42895,49568,51750,51978,60334,72601,81584,96578,101724,119402
Irapuã,3521507,33919,58038,57797,60222,58470,61461,69186,77299,80209,87302,103521,116535,119417
Iguaí,2913507,27328,34443,38993,48753,49953,54522,64307,71374,76074,90459,100087,108866,119490
Brasil Novo,1501725,28392,33427,42881,49726,54315,59068,63996,72405,78103,78870,89881,104126,119531
Varjão de Minas,3170750,29539,30572,41846,42411,58244,70500,61808,74251,84596,89798,86239,117552,119568
Boracéia,3507308,42331,44867,49384,53651,61096,68770,77519,76613,74839,89559,103380,123526,119642
Sátiro Dias,2929701,16908,21406,25271,32702,33389,61555,87434,70378,78044,76339,84278,102989,119648
São José da Tapera,2708402,28098,37437,32526,36299,41554,49626,57865,67167,78205,85238,97636,114505,119658
Camargo,4303558,16511,20248,24646,33777,27007,25894,33035,45505,53438,51956,61075,82380,119721
Carlinda,5102793,28978,30323,39404,47578,54642,65271,64996,77523,85717,94515,106292,108407,119758
Carmo da Mata,3114006,32464,33974,38431,48334,61802,67711,72512,72976,82792,81272,95706,111016,119886
Flores de Goiás,5207907,16382,20113,29131,41862,45148,41446,43935,54197,79272,81532,100796,108161,119891
Quarto Centenário,4120655,39375,45423,49820,73620,65797,51152,52907,61092,93212,86767,90112,107740,119976
Olhos-d'Água,3145455,11251,13269,14114,20070,18163,18173,19590,22382,36565,36225,47722,53103,119988
Rafard,3542107,59125,59664,59725,69625,59509,83192,103531,105086,99761,116352,141193,134335,119989
Sertão Santana,4320552,24496,31081,35575,50638,63009,50014,62304,64839,78451,95113,97513,105530,120097
São José da Coroa Grande,2613404,24250,30451,32067,34149,38757,41758,49577,54360,61890,73033,87516,109382,120117
Paula Freitas,4118600,29633,33012,40776,49572,58086,54747,65168,75867,84554,82924,102868,106591,120163
Pastos Bons,2108009,17927,21124,23945,31296,35641,32766,34763,37426,50972,56756,62037,72288,120357
Antônio Carlos,4201208,75956,96379,97013,129706,143695,169145,188730,199403,212099,255655,286147,283826,120393
Barão de Cotegipe,4301701,31797,33025,35812,58239,51496,50007,60360,77698,86387,92872,117079,119712,120395
Campinorte,5204706,23128,24510,31670,40179,53461,55280,56864,63266,74696,83282,97367,107909,120530
Ubaíra,2932101,29477,33544,40231,45022,47893,53818,60509,65972,74471,87061,95248,104284,120534
Governador Mangabeira,2911600,20482,25484,36885,47872,58777,75446,74425,78465,84708,91826,103027,114110,120562
São João do Manhuaçu,3162559,25091,25014,37658,48526,59201,65167,58875,64303,84064,73812,100874,157680,120579
Catiguá,3511201,45364,42901,58265,58936,59040,64982,88350,72667,69904,92075,94722,104105,120656
Cajueiro,2701308,31282,33150,38244,50478,49875,58231,63987,52988,74192,77848,85200,104116,121159
Queimadas,2925808,27720,31832,37528,41666,45936,57237,64048,72015,76100,95858,107346,111413,121328
Itatim,2916856,18228,24800,30163,36805,39840,52599,58004,64976,73189,87586,100298,118147,121362
Barão de Grajaú,2101509,16099,18024,20506,23722,26261,32411,36553,42401,52700,73726,77838,95379,121509
Centenário do Sul,4105102,34942,37074,49433,62306,62063,61840,58823,66240,71209,77906,94925,106355,121616
Pouso Alto,3152600,32747,36462,38248,45618,47080,55137,58610,67030,74124,80757,87600,111529,121762
Riacho das Almas,2611705,25430,29632,32305,36473,40383,47475,56663,61906,70901,91226,101399,109921,121940
Coronel Sapucaia,5003157,30689,36439,42437,50434,57066,54864,58041,71627,84535,88046,95737,111967,121965
Goiatins,1709005,13613,17655,20468,30018,32386,47748,46890,53005,86341,83157,104919,99340,122036
Nossa Senhora do Livramento,5106109,31510,31883,43096,52283,64575,62982,64807,74680,85988,98419,100785,105332,122051
Ferreira Gomes,1600238,13575,15873,18308,18976,21308,24990,32734,41288,72794,69648,80457,89281,122276
Entre Rios de Minas,3123908,35345,37997,40023,48407,49754,56515,66916,79689,89272,90917,101793,115347,122288
