Observatório do Plano Nacional de Educação

Produto Interno Bruto (PIB);
PIB;
Localidade;Código IBGE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Itapuã do Oeste;1101104;24415,0;30412,0;37828,0;45114,0;50573,0;54961,0;69198,0;71646,0;80282,0;84789,0;94129,0;122260,0;124869,0;;;;
Ministro Andreazza;1101203;38185,0;44934,0;48382,0;63193,0;63971,0;68275,0;66430,0;79550,0;105844,0;96873,0;125884,0;145609,0;147684,0;;;;
Mirante da Serra;1101302;44806,0;46602,0;54684,0;73905,0;77939,0;85252,0;88916,0;98739,0;112566,0;120018,0;133179,0;145791,0;153845,0;;;;
Monte Negro;1101401;41996,0;49220,0;58828,0;73792,0;90569,0;94335,0;105349,0;112615,0;135821,0;145346,0;173062,0;195724,0;215328,0;;;;
Nova União;1101435;29740,0;27872,0;37317,0;48500,0;50921,0;54885,0;59533,0;63139,0;66533,0;69918,0;76734,0;85217,0;94034,0;;;;
Parecis;1101450;15305,0;16006,0;19624,0;26166,0;29405,0;32166,0;37142,0;45496,0;56454,0;83718,0;82170,0;123198,0;87170,0;;;;
Pimenteiras do Oeste;1101468;15984,0;16083,0;18788,0;30222,0;33427,0;37188,0;40015,0;46614,0;59372,0;68970,0;89197,0;134039,0;181706,0;;;;
Primavera de Rondônia;1101476;18572,0;19263,0;22916,0;29094,0;29485,0;27950,0;29372,0;33838,0;41071,0;45557,0;45663,0;48844,0;53754,0;;;;
São Felipe d'Oeste;1101484;23182,0;23941,0;29018,0;38494,0;45413,0;50471,0;56294,0;60844,0;69879,0;71727,0;75102,0;83267,0;86771,0;;;;
São Francisco do Guaporé;1101492;33546,0;40687,0;57506,0;78149,0;99054,0;108300,0;118517,0;136621,0;177032,0;204615,0;221545,0;239984,0;265728,0;;;;
Seringueiras;1101500;34922,0;35795,0;49766,0;76596,0;83994,0;88315,0;90891,0;102013,0;120678,0;130276,0;146192,0;162438,0;167639,0;;;;
Teixeirópolis;1101559;22299,0;22207,0;28655,0;35346,0;38660,0;40824,0;41215,0;45664,0;50935,0;54474,0;60478,0;66868,0;72217,0;;;;
Theobroma;1101609;36489,0;44366,0;54956,0;72916,0;78159,0;86923,0;89950,0;98025,0;122573,0;128049,0;139710,0;134191,0;159078,0;;;;
Urupá;1101708;44966,0;44654,0;59869,0;75999,0;85740,0;96155,0;93428,0;101001,0;112246,0;119755,0;131845,0;146353,0;151790,0;;;;
Vale do Anari;1101757;21213,0;23714,0;31777,0;47797,0;59368,0;71414,0;69948,0;83475,0;97326,0;114100,0;113399,0;124362,0;179525,0;;;;
Vale do Paraíso;1101807;34028,0;35105,0;44325,0;67399,0;68630,0;73309,0;73389,0;86163,0;99246,0;89004,0;97294,0;104812,0;108187,0;;;;
Acrelândia;1200013;27484,0;42684,0;48737,0;68507,0;97262,0;114493,0;121402,0;146110,0;146133,0;151161,0;187606,0;191116,0;231526,0;;;;
Assis Brasil;1200054;10902,0;12085,0;14590,0;17492,0;23308,0;30328,0;33337,0;40441,0;54412,0;48369,0;54682,0;60786,0;67700,0;;;;
Brasiléia;1200104;73824,0;68665,0;87575,0;101626,0;107058,0;117728,0;129056,0;155458,0;174844,0;195057,0;228403,0;245534,0;267230,0;;;;
Bujari;1200138;24368,0;31651,0;31989,0;47936,0;52856,0;78688,0;74859,0;103857,0;106144,0;88729,0;138141,0;166501,0;182067,0;;;;
Capixaba;1200179;20074,0;36772,0;27798,0;37903,0;66007,0;78364,0;76346,0;96986,0;82582,0;89082,0;136884,0;154444,0;200731,0;;;;
Cruzeiro do Sul;1200203;198256,0;223051,0;261073,0;292890,0;345818,0;393292,0;427940,0;489697,0;593955,0;684494,0;835092,0;832605,0;859430,0;;;;
Epitaciolândia;1200252;45544,0;65684,0;57102,0;65605,0;83729,0;88597,0;93747,0;110241,0;128040,0;129696,0;150050,0;162744,0;176783,0;;;;
Feijó;1200302;66255,0;71555,0;82574,0;96757,0;121490,0;145150,0;145585,0;164153,0;200903,0;239379,0;264643,0;273347,0;278817,0;;;;
Jordão;1200328;12917,0;12952,0;14265,0;17845,0;20116,0;23838,0;30126,0;39420,0;53402,0;41692,0;48394,0;52948,0;62715,0;;;;
Mâncio Lima;1200336;24277,0;30296,0;34005,0;41439,0;44797,0;49794,0;54628,0;70249,0;88277,0;103334,0;123730,0;140650,0;149252,0;;;;
